date,cash,total_value,market_value,unit_net_value,units,static_unit_net_value
2017-06-01,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-02,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-05,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-06,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-07,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-08,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-09,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-12,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-13,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-14,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-15,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-16,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-19,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-20,100000.0,100000.0,0.0,1.0,100000.0,1.0
2017-06-21,185.212,99920.212,99735.0,0.999202,100000.0,1.0
2017-06-22,185.212,101010.212,100825.0,1.010102,100000.0,0.9992
2017-06-23,185.212,101010.212,100825.0,1.010102,100000.0,1.0101
2017-06-26,185.212,101555.212,101370.0,1.015552,100000.0,1.0101
2017-06-27,185.212,102209.212,102024.0,1.022092,100000.0,1.0156
2017-06-28,185.212,102972.212,102787.0,1.029722,100000.0,1.0221
2017-06-29,185.212,102972.212,102787.0,1.029722,100000.0,1.0297
2017-06-30,185.212,102536.212,102351.0,1.025362,100000.0,1.0297
2017-07-03,185.212,102645.212,102460.0,1.026452,100000.0,1.0254
2017-07-04,185.212,101991.212,101806.0,1.019912,100000.0,1.0265
2017-07-05,185.212,102318.212,102133.0,1.023182,100000.0,1.0199
2017-07-06,185.212,102645.212,102460.0,1.026452,100000.0,1.0232
2017-07-07,185.212,103408.212,103223.0,1.034082,100000.0,1.0265
2017-07-10,185.212,104716.212,104531.0,1.047162,100000.0,1.0341
2017-07-11,185.212,111910.212,111725.0,1.119102,100000.0,1.0472
2017-07-12,185.212,112891.212,112706.0,1.128912,100000.0,1.1191
2017-07-13,185.212,118995.212,118810.0,1.189952,100000.0,1.1289
2017-07-14,185.212,118995.212,118810.0,1.189952,100000.0,1.19
2017-07-17,185.212,118014.212,117829.0,1.180142,100000.0,1.19
2017-07-18,185.212,120630.212,120445.0,1.206302,100000.0,1.1801
2017-07-19,185.212,121066.212,120881.0,1.210662,100000.0,1.2063
2017-07-20,185.212,119758.212,119573.0,1.197582,100000.0,1.2107
2017-07-21,1907.412,120608.412,118701.0,1.206084,100000.0,1.1976
2017-07-24,1907.412,121262.412,119355.0,1.212624,100000.0,1.2061
2017-07-25,1907.412,121807.412,119900.0,1.218074,100000.0,1.2126
2017-07-26,1907.412,118973.412,117066.0,1.189734,100000.0,1.2181
2017-07-27,1907.412,117338.412,115431.0,1.173384,100000.0,1.1897
2017-07-28,118762.6932,118762.6932,0.0,1.187627,100000.0,1.1734
2017-07-31,118762.6932,118762.6932,0.0,1.187627,100000.0,1.1876
2017-08-01,118762.6932,118762.6932,0.0,1.187627,100000.0,1.1876
2017-08-02,478.1412,118668.1412,118190.0,1.186681,100000.0,1.1876
2017-08-03,478.1412,117184.1412,116706.0,1.171841,100000.0,1.1867
2017-08-04,478.1412,118880.1412,118402.0,1.188801,100000.0,1.1718
2017-08-07,478.1412,117078.1412,116600.0,1.170781,100000.0,1.1888
2017-08-08,478.1412,117608.1412,117130.0,1.176081,100000.0,1.1708
2017-08-09,478.1412,114216.1412,113738.0,1.142161,100000.0,1.1761
2017-08-10,478.1412,113050.1412,112572.0,1.130501,100000.0,1.1422
2017-08-11,478.1412,106690.1412,106212.0,1.066901,100000.0,1.1305
2017-08-14,478.1412,108810.1412,108332.0,1.088101,100000.0,1.0669
2017-08-15,478.1412,109764.1412,109286.0,1.097641,100000.0,1.0881
2017-08-16,478.1412,110082.1412,109604.0,1.100821,100000.0,1.0976
2017-08-17,478.1412,110930.1412,110452.0,1.109301,100000.0,1.1008
2017-08-18,478.1412,111142.1412,110664.0,1.111421,100000.0,1.1093
2017-08-21,478.1412,111354.1412,110876.0,1.113541,100000.0,1.1114
2017-08-22,478.1412,113368.1412,112890.0,1.133681,100000.0,1.1135
2017-08-23,478.1412,116018.1412,115540.0,1.160181,100000.0,1.1337
2017-08-24,478.1412,116336.1412,115858.0,1.163361,100000.0,1.1602
2017-08-25,478.1412,118244.1412,117766.0,1.182441,100000.0,1.1634
2017-08-28,478.1412,120788.1412,120310.0,1.207881,100000.0,1.1824
2017-08-29,478.1412,124180.1412,123702.0,1.241801,100000.0,1.2079
2017-08-30,478.1412,121636.1412,121158.0,1.216361,100000.0,1.2418
2017-08-31,478.1412,120046.1412,119568.0,1.200461,100000.0,1.2164
2017-09-01,478.1412,119304.1412,118826.0,1.193041,100000.0,1.2005
2017-09-04,478.1412,124710.1412,124232.0,1.247101,100000.0,1.193
2017-09-05,478.1412,123862.1412,123384.0,1.238621,100000.0,1.2471
2017-09-06,478.1412,124498.1412,124020.0,1.244981,100000.0,1.2386
2017-09-07,478.1412,121742.1412,121264.0,1.217421,100000.0,1.245
2017-09-08,478.1412,122272.1412,121794.0,1.222721,100000.0,1.2174
2017-09-11,478.1412,121106.1412,120628.0,1.211061,100000.0,1.2227
2017-09-12,478.1412,122802.1412,122324.0,1.228021,100000.0,1.2111
2017-09-13,478.1412,121636.1412,121158.0,1.216361,100000.0,1.228
2017-09-14,478.1412,120470.1412,119992.0,1.204701,100000.0,1.2164
2017-09-15,478.1412,120152.1412,119674.0,1.201521,100000.0,1.2047
2017-09-18,478.1412,119728.1412,119250.0,1.197281,100000.0,1.2015
2017-09-19,478.1412,118456.1412,117978.0,1.184561,100000.0,1.1973
2017-09-20,478.1412,120152.1412,119674.0,1.201521,100000.0,1.1846
2017-09-21,478.1412,121954.1412,121476.0,1.219541,100000.0,1.2015
2017-09-22,478.1412,121742.1412,121264.0,1.217421,100000.0,1.2195
2017-09-25,478.1412,120152.1412,119674.0,1.201521,100000.0,1.2174
