date,cash,transaction_cost,market_value,total_value
2017-06-01,100000.0,0.0,0.0,100000.0
2017-06-02,100000.0,0.0,0.0,100000.0
2017-06-05,100000.0,0.0,0.0,100000.0
2017-06-06,100000.0,0.0,0.0,100000.0
2017-06-07,100000.0,0.0,0.0,100000.0
2017-06-08,100000.0,0.0,0.0,100000.0
2017-06-09,100000.0,0.0,0.0,100000.0
2017-06-12,100000.0,0.0,0.0,100000.0
2017-06-13,100000.0,0.0,0.0,100000.0
2017-06-14,100000.0,0.0,0.0,100000.0
2017-06-15,100000.0,0.0,0.0,100000.0
2017-06-16,100000.0,0.0,0.0,100000.0
2017-06-19,100000.0,0.0,0.0,100000.0
2017-06-20,100000.0,0.0,0.0,100000.0
2017-06-21,185.212,79.788,99735.0,99920.212
2017-06-22,185.212,0.0,100825.0,101010.212
2017-06-23,185.212,0.0,100825.0,101010.212
2017-06-26,185.212,0.0,101370.0,101555.212
2017-06-27,185.212,0.0,102024.0,102209.212
2017-06-28,185.212,0.0,102787.0,102972.212
2017-06-29,185.212,0.0,102787.0,102972.212
2017-06-30,185.212,0.0,102351.0,102536.212
2017-07-03,185.212,0.0,102460.0,102645.212
2017-07-04,185.212,0.0,101806.0,101991.212
2017-07-05,185.212,0.0,102133.0,102318.212
2017-07-06,185.212,0.0,102460.0,102645.212
2017-07-07,185.212,0.0,103223.0,103408.212
2017-07-10,185.212,0.0,104531.0,104716.212
2017-07-11,185.212,0.0,111725.0,111910.212
2017-07-12,185.212,0.0,112706.0,112891.212
2017-07-13,185.212,0.0,118810.0,118995.212
2017-07-14,185.212,0.0,118810.0,118995.212
2017-07-17,185.212,0.0,117829.0,118014.212
2017-07-18,185.212,0.0,120445.0,120630.212
2017-07-19,185.212,0.0,120881.0,121066.212
2017-07-20,185.212,0.0,119573.0,119758.212
2017-07-21,1907.412,0.0,118701.0,120608.412
2017-07-24,1907.412,0.0,119355.0,121262.412
2017-07-25,1907.412,0.0,119900.0,121807.412
2017-07-26,1907.412,0.0,117066.0,118973.412
