date,order_book_id,symbol,quantity,last_price,avg_price,market_value
2017-06-21,000001.XSHE,平安银行,10900.0,9.15,9.15,99735.0
2017-06-22,000001.XSHE,平安银行,10900.0,9.25,9.15,100825.0
2017-06-23,000001.XSHE,平安银行,10900.0,9.25,9.15,100825.0
2017-06-26,000001.XSHE,平安银行,10900.0,9.3,9.15,101370.0
2017-06-27,000001.XSHE,平安银行,10900.0,9.36,9.15,102024.0
2017-06-28,000001.XSHE,平安银行,10900.0,9.43,9.15,102787.0
2017-06-29,000001.XSHE,平安银行,10900.0,9.43,9.15,102787.0
2017-06-30,000001.XSHE,平安银行,10900.0,9.39,9.15,102351.0
2017-07-03,000001.XSHE,平安银行,10900.0,9.4,9.15,102460.0
2017-07-04,000001.XSHE,平安银行,10900.0,9.34,9.15,101806.0
2017-07-05,000001.XSHE,平安银行,10900.0,9.37,9.15,102133.0
2017-07-06,000001.XSHE,平安银行,10900.0,9.4,9.15,102460.0
2017-07-07,000001.XSHE,平安银行,10900.0,9.47,9.15,103223.0
2017-07-10,000001.XSHE,平安银行,10900.0,9.59,9.15,104531.0
2017-07-11,000001.XSHE,平安银行,10900.0,10.25,9.15,111725.0
2017-07-12,000001.XSHE,平安银行,10900.0,10.34,9.15,112706.0
2017-07-13,000001.XSHE,平安银行,10900.0,10.9,9.15,118810.0
2017-07-14,000001.XSHE,平安银行,10900.0,10.9,9.15,118810.0
2017-07-17,000001.XSHE,平安银行,10900.0,10.81,9.15,117829.0
2017-07-18,000001.XSHE,平安银行,10900.0,11.05,9.15,120445.0
2017-07-19,000001.XSHE,平安银行,10900.0,11.09,9.15,120881.0
2017-07-20,000001.XSHE,平安银行,10900.0,10.97,9.15,119573.0
2017-07-21,000001.XSHE,平安银行,10900.0,10.89,8.992,118701.0
2017-07-24,000001.XSHE,平安银行,10900.0,10.95,8.992,119355.0
2017-07-25,000001.XSHE,平安银行,10900.0,11.0,8.992,119900.0
2017-07-26,000001.XSHE,平安银行,10900.0,10.74,8.992,117066.0
2017-07-27,000001.XSHE,平安银行,10900.0,10.59,8.992,115431.0
2017-08-02,000001.XSHE,平安银行,10600.0,11.15,11.15,118190.0
2017-08-03,000001.XSHE,平安银行,10600.0,11.01,11.15,116706.0
2017-08-04,000001.XSHE,平安银行,10600.0,11.17,11.15,118402.0
2017-08-07,000001.XSHE,平安银行,10600.0,11.0,11.15,116600.0
2017-08-08,000001.XSHE,平安银行,10600.0,11.05,11.15,117130.0
2017-08-09,000001.XSHE,平安银行,10600.0,10.73,11.15,113738.0
2017-08-10,000001.XSHE,平安银行,10600.0,10.62,11.15,112572.0
2017-08-11,000001.XSHE,平安银行,10600.0,10.02,11.15,106212.0
2017-08-14,000001.XSHE,平安银行,10600.0,10.22,11.15,108332.0
2017-08-15,000001.XSHE,平安银行,10600.0,10.31,11.15,109286.0
2017-08-16,000001.XSHE,平安银行,10600.0,10.34,11.15,109604.0
2017-08-17,000001.XSHE,平安银行,10600.0,10.42,11.15,110452.0
2017-08-18,000001.XSHE,平安银行,10600.0,10.44,11.15,110664.0
